Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Melukis atau menggambar ,Alat Olahraga; Mainan,Netral,Tidak Setuju,Sangat Setuju,Setuju
Mainan/Collectible item; Novel Fiksi; Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya); Menghadiri acara budaya atau edukasi; Bermain musik",Mainan; Alat Olahraga; Alat Tulis kantor atau sekolah,Netral,Tidak Setuju,Tidak Setuju,Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Travelling; Belanja online/offline; Membaca buku atau majalah ,"Alat Tulis kantor atau sekolah; Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
Buku Anak,Website Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline; Menghadiri acara budaya atau edukasi,"Alat Musik & kesenian; Alat Tulis kantor atau sekolah; Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah); Komik/Novel Grafis; Jurnal/Perencana (Planner),Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama); Kesehatan dan Kecantikan",Netral,Sangat Setuju,Setuju,Netral
Alat Olahraga,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas; Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar ,"Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Perlengkapan Kantor atau Sekolah; Alat Tulis Umum (Kantor/Sekolah); Komik/Novel Grafis,Toko Gramedia,Untuk mengekspresikan kreativitas; Kado atau hadiah; Hiburan atau relaksasi,Bermain musik,"Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Setuju,Setuju,Netral
Alat Musik; Komik/Novel Grafis,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan","Belanja online/offline; Menulis (diari, blog, atau lainnya); Bermain game (offline/online)","Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah","Melukis atau menggambar ; Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah,Sangat Setuju,Setuju,Netral,Sangat Tidak Setuju
Alat Musik; Perlengkapan Seni/Kreatif; Alat Olahraga,Aplikasi Gramedia.com,Kado atau hadiah; Untuk mengekspresikan kreativitas; Menambah pengetahuan,Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian; Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah); Novel Fiksi,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling; Bermain game (offline/online); Olahraga,"Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah; Alat Olahraga",Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
"Mainan/Collectible item; Alat Olahraga; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga; Menghadiri acara budaya atau edukasi; Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju
Alat Musik,Aplikasi Gramedia.com,"Kado atau hadiah; Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya); Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian",Netral,Sangat Setuju,Setuju,Netral
"Perlengkapan Seni/Kreatif; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Komik/Novel Grafis",Toko buku independen lainnya,Hiburan atau relaksasi; Kado atau hadiah,Melukis atau menggambar ; Bermain game (offline/online),Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah ,Alat Tulis kantor atau sekolah,Sangat Setuju,Netral,Setuju,Netral
"Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Musik",Toko buku independen lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah ,Alat Tulis kantor atau sekolah,Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju
Buku Anak,Website Gramedia.com,"Untuk mengekspresikan kreativitas; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik; Belanja online/offline; Menghadiri acara budaya atau edukasi,"Kesehatan dan Kecantikan; Alat Olahraga; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju
"Komik/Novel Grafis; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik; Melukis atau menggambar ,Alat Tulis kantor atau sekolah; Alat Olahraga,Netral,Sangat Tidak Setuju,Setuju,Sangat Setuju
"Jurnal/Perencana (Planner); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas; Hiburan atau relaksasi; Kado atau hadiah,"Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju
Mainan/Collectible item,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar ,"Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Tidak Setuju,Setuju,Setuju
"Novel Fiksi; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi; Olahraga,"Alat Olahraga; Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Tidak Setuju,Setuju,Setuju
Alat Musik,Toko alat tulis lainnya,"Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling; Menghadiri acara budaya atau edukasi; Bermain musik,Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah); Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik; Melukis atau menggambar ; Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian; Mainan",Sangat Tidak Setuju,Netral,Setuju,Setuju
"Novel Fiksi; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online); Menulis (diari, blog, atau lainnya); Bermain musik",Alat Musik & kesenian,Sangat Setuju,Setuju,Tidak Setuju,Tidak Setuju
Novel Fiksi; Alat Musik,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Travelling; Bermain musik; Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju
Alat Tulis Umum (Kantor/Sekolah); Buku Anak,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Belanja online/offline; Menghadiri acara budaya atau edukasi; Melukis atau menggambar ,Mainan,Setuju,Tidak Setuju,Setuju,Netral
Alat Olahraga; Jurnal/Perencana (Planner),Website Gramedia.com,Kado atau hadiah,"Menulis (diari, blog, atau lainnya); Olahraga; Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Netral,Tidak Setuju,Setuju
"Alat Olahraga; Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Melukis atau menggambar ; Membaca buku atau majalah ; Belanja online/offline,"Alat Musik & kesenian; Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Buku Anak,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah; Alat Musik & kesenian",Setuju,Netral,Netral,Sangat Tidak Setuju
Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi; Belanja online/offline,Alat Olahraga,Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju
Alat Olahraga; Jurnal/Perencana (Planner); Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ; Menghadiri acara budaya atau edukasi,Mainan,Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral
Perlengkapan Seni/Kreatif; Novel Fiksi; Mainan/Collectible item,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online); Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner); Mainan/Collectible item,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline; Bermain musik,"Alat Olahraga; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
Novel Fiksi,Toko alat tulis lainnya,"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya); Melukis atau menggambar ","Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Tulis kantor atau sekolah",Tidak Setuju,Setuju,Sangat Setuju,Netral
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Olahraga",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,Melukis atau menggambar ; Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan; Mainan",Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Mainan/Collectible item; Komik/Novel Grafis",Toko Gramedia,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga; Bermain musik,"Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi; Olahraga,Alat Olahraga,Tidak Setuju,Setuju,Netral,Sangat Setuju
"Novel Fiksi; Perlengkapan Kantor atau Sekolah; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline; Menghadiri acara budaya atau edukasi,"Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak)",Netral,Setuju,Sangat Tidak Setuju,Setuju
Mainan/Collectible item; Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling; Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Jurnal/Perencana (Planner); Perlengkapan Seni/Kreatif; Buku Anak,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online); Menghadiri acara budaya atau edukasi; Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian; Alat Tulis kantor atau sekolah",Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Mainan/Collectible item,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah; Menambah pengetahuan",Bermain game (offline/online),Alat Olahraga,Sangat Setuju,Setuju,Sangat Setuju,Netral
Perlengkapan Seni/Kreatif; Komik/Novel Grafis; Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online); Olahraga; Menghadiri acara budaya atau edukasi,Mainan; Alat Tulis kantor atau sekolah; Kesehatan dan Kecantikan,Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Hiburan atau relaksasi,Membaca buku atau majalah ,Mainan,Sangat Setuju,Sangat Setuju,Netral,Setuju
Buku Anak; Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Menambah pengetahuan,Menghadiri acara budaya atau edukasi; Melukis atau menggambar ,"Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Novel Fiksi,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan,Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian",Setuju,Netral,Tidak Setuju,Sangat Setuju
Perlengkapan Kantor atau Sekolah; Alat Olahraga,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar ; Menghadiri acara budaya atau edukasi; Travelling,"Alat Tulis kantor atau sekolah; Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling; Olahraga,Alat Musik & kesenian,Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral
Komik/Novel Grafis; Jurnal/Perencana (Planner); Buku Anak,Aplikasi Gramedia.com,Kado atau hadiah,Melukis atau menggambar ,Alat Olahraga,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
Perlengkapan Seni/Kreatif,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi; Menambah pengetahuan",Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi; Belanja online/offline,Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Netral,Setuju
Komik/Novel Grafis,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi",Belanja online/offline,Alat Tulis kantor atau sekolah,Netral,Setuju,Sangat Tidak Setuju,Netral
"Buku Anak; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Belanja online/offline; Melukis atau menggambar ,"Alat Olahraga; Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
Jurnal/Perencana (Planner); Buku Anak,Toko buku independen lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Bermain musik; Olahraga; Belanja online/offline,"Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan",Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Mainan/Collectible item; Jurnal/Perencana (Planner); Novel Fiksi,Website Gramedia.com,Kado atau hadiah; Untuk mengekspresikan kreativitas,Belanja online/offline,"Buku fiksi (novel, komik, buku anak); Alat Olahraga",Sangat Setuju,Setuju,Setuju,Sangat Tidak Setuju
"Jurnal/Perencana (Planner); Buku Anak; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik; Bermain game (offline/online); Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama); Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi,"Melukis atau menggambar ; Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah; Kesehatan dan Kecantikan",Setuju,Tidak Setuju,Tidak Setuju,Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)","Kesehatan dan Kecantikan; Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Sangat Setuju,Netral,Netral,Sangat Tidak Setuju
"Jurnal/Perencana (Planner); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Buku Anak",Toko Gramedia,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi; Olahraga,Mainan; Alat Musik & kesenian; Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Perlengkapan Kantor atau Sekolah; Komik/Novel Grafis,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,Melukis atau menggambar ,"Alat Musik & kesenian; Kesehatan dan Kecantikan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Tidak Setuju,Netral,Netral
Perlengkapan Seni/Kreatif; Komik/Novel Grafis; Buku Anak,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Bermain musik,Alat Tulis kantor atau sekolah,Tidak Setuju,Netral,Tidak Setuju,Netral
