Produk sering beli,Saluran belanja,Motivasi utama pembelian
"Novel Fiksi, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
Jurnal/Perencana (Planner),Website Gramedia.com,Kado atau hadiah
"Alat Musik, Buku Anak, Mainan/Collectible item",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Alat Olahraga, Mainan/Collectible item, Alat Musik",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah"
"Alat Olahraga, Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
Mainan/Collectible item,Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Alat Musik, Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi"
"Alat Olahraga, Jurnal/Perencana (Planner), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Kado atau hadiah
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Alat Olahraga,Toko alat tulis lainnya,Hiburan atau relaksasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Toko buku independen lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Menambah pengetahuan"
Jurnal/Perencana (Planner),Website Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Website Gramedia.com,Untuk mengekspresikan kreativitas
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi"
"Alat Musik, Jurnal/Perencana (Planner)",Website Gramedia.com,Hiburan atau relaksasi
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko alat tulis lainnya,"Kado atau hadiah, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak, Novel Fiksi",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,Menambah pengetahuan
Alat Olahraga,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah
Buku Anak,Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Hiburan atau relaksasi
"Perlengkapan Seni/Kreatif, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Musik",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kado atau hadiah"
Novel Fiksi,Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia.com,"Kado atau hadiah, Menambah pengetahuan, Hiburan atau relaksasi"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Menambah pengetahuan
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
Buku Anak,Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Jurnal/Perencana (Planner)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
Buku Anak,Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
Alat Musik,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Novel Fiksi, Alat Olahraga",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Website Gramedia.com,Menambah pengetahuan
Jurnal/Perencana (Planner),Website Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah"
"Jurnal/Perencana (Planner), Alat Olahraga, Mainan/Collectible item",Website Gramedia.com,"Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Musik,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Novel Fiksi, Mainan/Collectible item",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Buku Anak",Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi"
"Novel Fiksi, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Komik/Novel Grafis, Mainan/Collectible item",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
Novel Fiksi,Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Buku Anak, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan
"Novel Fiksi, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Kado atau hadiah
Buku Anak,Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Mainan/Collectible item",Toko buku independen lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Alat Olahraga",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik, Perlengkapan Seni/Kreatif",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Menambah pengetahuan
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Toko buku independen lainnya,Kado atau hadiah
Alat Musik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner), Buku Anak",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Aplikasi Gramedia.com,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Buku Anak",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Alat Musik",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Novel Fiksi",Toko alat tulis lainnya,Menambah pengetahuan
Mainan/Collectible item,Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Alat Musik, Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Perlengkapan Kantor atau Sekolah,Toko Gramedia,Hiburan atau relaksasi
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Alat Olahraga, Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Kado atau hadiah
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko buku independen lainnya,Untuk mengekspresikan kreativitas
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Alat Musik, Perlengkapan Seni/Kreatif",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Buku Anak, Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Kado atau hadiah
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan"
"Alat Musik, Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri
Mainan/Collectible item,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Mainan/Collectible item",Aplikasi Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Komik/Novel Grafis,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Buku Anak,Toko buku independen lainnya,"Hiburan atau relaksasi, Kado atau hadiah"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Alat Musik, Alat Olahraga, Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Untuk mengekspresikan kreativitas
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko buku independen lainnya,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
"Jurnal/Perencana (Planner), Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Menambah pengetahuan"
Jurnal/Perencana (Planner),Toko Gramedia,Menambah pengetahuan
Buku Anak,Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
Mainan/Collectible item,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
