Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Membaca buku atau majalah = Literasi"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Toko Gramedia,Menambah pengetahuan,"Belanja online/offline = Lifestyle, Bermain musik, Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Anak",Toko Gramedia,Hiburan atau relaksasi,"Belanja online/offline = Lifestyle, Travelling, Bermain musik"
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Toko alat tulis lainnya,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Bermain musik"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko Gramedia,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan",Melukis atau menggambar = Seni
Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah = Literasi
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Menambah pengetahuan","Olahraga, Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan",Bermain game (offline/online) = Aktivitas Rekreasional
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan",Menghadiri acara budaya atau edukasi
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar = Seni
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Hiburan atau relaksasi,"Bermain game (offline/online) = Aktivitas Rekreasional, Melukis atau menggambar = Seni, Bermain musik"
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Membaca buku atau majalah = Literasi, Belanja online/offline = Lifestyle"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Novel Fiksi",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Kado atau hadiah","Olahraga, Travelling"
"Jurnal/Perencana (Planner), Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
Buku Anak,Aplikasi Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga, Travelling"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah","Travelling, Bermain musik"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain musik, Membaca buku atau majalah = Literasi, Belanja online/offline = Lifestyle"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Novel Fiksi",Aplikasi Gramedia.com,Hiburan atau relaksasi,"Travelling, Menulis (diari, blog, atau lainnya), Bermain musik"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Hiburan atau relaksasi","Bermain game (offline/online) = Aktivitas Rekreasional, Menghadiri acara budaya atau edukasi, Travelling"
"Buku Anak, Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline = Lifestyle
Mainan/Collectible item,Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline = Lifestyle, Travelling, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas",Bermain musik
"Alat Olahraga, Alat Musik, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik, Membaca buku atau majalah = Literasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah = Literasi
Alat Olahraga,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Bermain musik"
Jurnal/Perencana (Planner),Toko Gramedia,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Travelling, Membaca buku atau majalah = Literasi"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Olahraga, Bermain musik"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Bermain musik
Novel Fiksi,Aplikasi Gramedia.com,Menambah pengetahuan,"Bermain game (offline/online) = Aktivitas Rekreasional, Travelling, Menghadiri acara budaya atau edukasi"
"Perlengkapan Seni/Kreatif, Novel Fiksi",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain game (offline/online) = Aktivitas Rekreasional
"Komik/Novel Grafis, Mainan/Collectible item",Website Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Olahraga"
Mainan/Collectible item,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)"
Perlengkapan Seni/Kreatif,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Travelling, Bermain musik"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Belanja online/offline = Lifestyle"
Alat Musik,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle"
"Perlengkapan Seni/Kreatif, Alat Musik, Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Belanja online/offline = Lifestyle, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya)"
Komik/Novel Grafis,Website Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga, Travelling, Membaca buku atau majalah = Literasi"
"Perlengkapan Seni/Kreatif, Buku Anak",Toko buku independen lainnya,Kado atau hadiah,Bermain game (offline/online) = Aktivitas Rekreasional
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga
Mainan/Collectible item,Aplikasi Gramedia.com,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Travelling, Melukis atau menggambar = Seni"
Alat Musik,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan",Bermain game (offline/online) = Aktivitas Rekreasional
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni"
"Alat Musik, Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Olahraga
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Bermain game (offline/online) = Aktivitas Rekreasional, Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
"Alat Musik, Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,Menambah pengetahuan,"Membaca buku atau majalah = Literasi, Bermain musik"
"Perlengkapan Kantor atau Sekolah, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline = Lifestyle
Alat Musik,Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan","Membaca buku atau majalah = Literasi, Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
"Komik/Novel Grafis, Buku Anak, Novel Fiksi",Website Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik
"Alat Musik, Novel Fiksi, Jurnal/Perencana (Planner)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
"Mainan/Collectible item, Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya)"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,"Melukis atau menggambar = Seni, Bermain musik, Olahraga"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Belanja online/offline = Lifestyle
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Travelling, Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online) = Aktivitas Rekreasional
"Alat Musik, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Musik",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Membaca buku atau majalah = Literasi"
"Alat Musik, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah",Travelling
"Perlengkapan Kantor atau Sekolah, Buku Anak, Alat Musik",Toko Gramedia,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Membaca buku atau majalah = Literasi, Travelling"
"Novel Fiksi, Buku Anak, Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Bermain musik, Olahraga"
Alat Musik,Aplikasi Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional"
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan",Melukis atau menggambar = Seni
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
"Jurnal/Perencana (Planner), Mainan/Collectible item",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Travelling, Melukis atau menggambar = Seni"
Mainan/Collectible item,Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Menambah pengetahuan",Bermain game (offline/online) = Aktivitas Rekreasional
"Komik/Novel Grafis, Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain musik, Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
Novel Fiksi,Toko Gramedia,"Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Belanja online/offline = Lifestyle"
Komik/Novel Grafis,Aplikasi Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi",Melukis atau menggambar = Seni
"Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan",Belanja online/offline = Lifestyle
"Alat Musik, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya), Bermain musik"
"Komik/Novel Grafis, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni"
"Alat Olahraga, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Menambah pengetahuan,"Belanja online/offline = Lifestyle, Olahraga, Melukis atau menggambar = Seni"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya)"
